date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-23,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-23,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-23,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-23,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-23,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-23,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-23,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-23,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-23,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-23,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-23,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-23,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-23,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-23,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-23,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-24,cumulative_infections,1,1,1,1,1,1,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-24,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-24,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-24,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-24,infections,1,1,1,1,1,1,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-24,Rt,1.77338082163202,2.49680747100292,2.7996806971409,2.7792102794292,3.04739590224433,3.67093004545861,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-24,cumulative_infections,1,1,1,1,1,1,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-24,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-24,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-24,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-24,infections,1,1,1,1,1,1,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-24,Rt,1.77338082163202,2.49680747100292,2.7996806971409,2.7792102794292,3.04739590224433,3.67093004545861,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-24,cumulative_infections,1,1,1,1,1,1,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-24,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-24,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-24,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-24,infections,1,1,1,1,1,1,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-24,Rt,1.77338082163202,2.49680747100292,2.7996806971409,2.7792102794292,3.04739590224433,3.67093004545861,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-25,cumulative_infections,5,5,5,5,5,5,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-25,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-25,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-25,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-25,infections,4,4,4,4,4,4,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-25,Rt,2.0738737640681,2.53727582595914,2.81724118737779,2.80938516316311,3.04984415721444,3.67750917885254,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-25,cumulative_infections,5,5,5,5,5,5,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-25,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-25,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-25,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-25,infections,4,4,4,4,4,4,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-25,Rt,2.0738737640681,2.53727582595914,2.81724118737779,2.80938516316311,3.04984415721444,3.67750917885254,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-25,cumulative_infections,5,5,5,5,5,5,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-25,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-25,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-25,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-25,infections,4,4,4,4,4,4,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-25,Rt,2.0738737640681,2.53727582595914,2.81724118737779,2.80938516316311,3.04984415721444,3.67750917885254,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-26,cumulative_infections,10,10,10,10,10,10,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-26,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-26,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-26,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-26,infections,5,5,5,5,5,5,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-26,Rt,2.0738737640681,2.53727582595914,2.81724118737779,2.80938516316311,3.04984415721444,3.67750917885254,Surged Additional 50% Reduction,Albania,ALB,2020-06-15,v3
2020-01-26,cumulative_infections,10,10,10,10,10,10,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-26,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-26,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-26,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-26,infections,5,5,5,5,5,5,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-26,Rt,2.0738737640681,2.53727582595914,2.81724118737779,2.80938516316311,3.04984415721444,3.67750917885254,Surged Maintain Status Quo,Albania,ALB,2020-06-15,v3
2020-01-26,cumulative_infections,10,10,10,10,10,10,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
2020-01-26,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Albania,ALB,2020-06-15,v3
