date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-01,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,infections,0,0,0,0,0,0,Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,Rt,1.91448197838391,2.07521770487833,2.17057435278947,2.18803874781984,2.27378881900406,2.5749669020492,Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Armenia,ARM,2020-06-16,v3
2020-02-01,deaths,0,0,0,0,0,0,Maintain Status Quo,Armenia,ARM,2020-06-16,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Armenia,ARM,2020-06-16,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Armenia,ARM,2020-06-16,v3
2020-02-01,infections,0,0,0,0,0,0,Maintain Status Quo,Armenia,ARM,2020-06-16,v3
2020-02-01,Rt,1.91448197838391,2.07521770487833,2.17057435278947,2.18803874781984,2.27378881900406,2.5749669020492,Maintain Status Quo,Armenia,ARM,2020-06-16,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Armenia,ARM,2020-06-16,v3
2020-02-01,deaths,0,0,0,0,0,0,Relax Interventions 50%,Armenia,ARM,2020-06-16,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Armenia,ARM,2020-06-16,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Armenia,ARM,2020-06-16,v3
2020-02-01,infections,0,0,0,0,0,0,Relax Interventions 50%,Armenia,ARM,2020-06-16,v3
2020-02-01,Rt,1.91448197838391,2.07521770487833,2.17057435278947,2.18803874781984,2.27378881900406,2.5749669020492,Relax Interventions 50%,Armenia,ARM,2020-06-16,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,Rt,1.90120765936721,2.0541653749337,2.15573968779872,2.16837566605702,2.25650182614475,2.52820551650789,Surged Additional 50% Reduction,Armenia,ARM,2020-06-16,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Armenia,ARM,2020-06-16,v3
2020-02-01,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Armenia,ARM,2020-06-16,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Armenia,ARM,2020-06-16,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Armenia,ARM,2020-06-16,v3
2020-02-01,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Armenia,ARM,2020-06-16,v3
