date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-15,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-15,deaths,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-15,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-15,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-15,infections,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-15,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-15,deaths,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-15,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-15,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-15,infections,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-15,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-15,deaths,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-15,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-15,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-15,infections,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-15,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-15,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-15,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-15,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-15,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-15,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-15,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-15,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-15,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-15,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-15,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-15,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-15,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-15,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-15,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-16,cumulative_infections,1.025,1.25,1.5,1.5,1.75,1.975,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,deaths,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,infections,1.025,1.25,1.5,1.5,1.75,1.975,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,Rt,2.4245259684516,2.51625572828044,2.60515239493778,2.69923811225959,2.76321841304128,3.60822696937507,Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,cumulative_infections,1.025,1.25,1.5,1.5,1.75,1.975,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-16,deaths,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-16,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-16,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-16,infections,1.025,1.25,1.5,1.5,1.75,1.975,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-16,Rt,2.4245259684516,2.51625572828044,2.60515239493778,2.69923811225959,2.76321841304128,3.60822696937507,Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-16,cumulative_infections,1.025,1.25,1.5,1.5,1.75,1.975,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-16,deaths,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-16,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-16,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-16,infections,1.025,1.25,1.5,1.5,1.75,1.975,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-16,Rt,2.4245259684516,2.51625572828044,2.60515239493778,2.69923811225959,2.76321841304128,3.60822696937507,Relax Interventions 50%,Bangladesh,BGD,2020-06-15,v3
2020-02-16,cumulative_infections,0.1,1,2,1.33333333333333,2,2,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,infections,0.1,1,2,1.33333333333333,2,2,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,Rt,2.39954839883248,2.49022772798499,2.61394083290669,2.68940561287811,2.77777550542853,3.52366566948544,Surged Additional 50% Reduction,Bangladesh,BGD,2020-06-15,v3
2020-02-16,cumulative_infections,0.1,1,2,1.33333333333333,2,2,Surged Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-16,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
2020-02-16,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Bangladesh,BGD,2020-06-15,v3
