date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-02,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Additional 50% Reduction,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-02,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Maintain Status Quo,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-02,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Relax Interventions 50%,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-02,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Additional 50% Reduction,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-02,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Maintain Status Quo,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-02,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Relax Interventions 50%,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-03,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Additional 50% Reduction,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-03,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Maintain Status Quo,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-03,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Relax Interventions 50%,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-03,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Additional 50% Reduction,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-03,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Maintain Status Quo,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-03,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Relax Interventions 50%,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-04,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Additional 50% Reduction,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-04,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Maintain Status Quo,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-04,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Relax Interventions 50%,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-04,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Additional 50% Reduction,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-04,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Maintain Status Quo,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-04,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Relax Interventions 50%,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-05,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Additional 50% Reduction,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-05,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Maintain Status Quo,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-05,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Relax Interventions 50%,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-05,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Additional 50% Reduction,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-05,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Maintain Status Quo,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-05,Rt,1.69062316827771,1.78690573123448,1.90748272387012,1.91383533372642,2.0414480911552,2.13789705203566,Surged Relax Interventions 50%,Democratic Republic of Congo,COD,2020-06-17,v3
2020-01-06,Rt,1.67749821614344,1.76986079128919,1.93528925939823,1.91135242409115,2.03745020247187,2.15961690517255,Additional 50% Reduction,Democratic Republic of Congo,COD,2020-06-17,v3
