date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-17,Rt,1.76045154356876,2.17183775062066,2.44649851276652,2.45117946955588,2.74481547312878,3.24493179112031,Additional 50% Reduction,Cabo Verde,CPV,2020-06-14,v3
2020-02-17,Rt,1.76045154356876,2.17183775062066,2.44649851276652,2.45117946955588,2.74481547312878,3.24493179112031,Maintain Status Quo,Cabo Verde,CPV,2020-06-14,v3
2020-02-17,Rt,1.76045154356876,2.17183775062066,2.44649851276652,2.45117946955588,2.74481547312878,3.24493179112031,Relax Interventions 50%,Cabo Verde,CPV,2020-06-14,v3
2020-02-17,Rt,1.6870030794131,2.0810969914475,2.37453384316713,2.36180276811289,2.59706006808436,3.09731099921211,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-14,v3
2020-02-17,Rt,1.6870030794131,2.0810969914475,2.37453384316713,2.36180276811289,2.59706006808436,3.09731099921211,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-14,v3
2020-02-17,Rt,1.6870030794131,2.0810969914475,2.37453384316713,2.36180276811289,2.59706006808436,3.09731099921211,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-14,v3
2020-02-18,Rt,1.76045154356876,2.17183775062066,2.44649851276652,2.45117946955588,2.74481547312878,3.24493179112031,Additional 50% Reduction,Cabo Verde,CPV,2020-06-14,v3
2020-02-18,Rt,1.76045154356876,2.17183775062066,2.44649851276652,2.45117946955588,2.74481547312878,3.24493179112031,Maintain Status Quo,Cabo Verde,CPV,2020-06-14,v3
2020-02-18,Rt,1.76045154356876,2.17183775062066,2.44649851276652,2.45117946955588,2.74481547312878,3.24493179112031,Relax Interventions 50%,Cabo Verde,CPV,2020-06-14,v3
2020-02-18,Rt,1.6870030794131,2.0810969914475,2.37453384316713,2.36180276811289,2.59706006808436,3.09731099921211,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-14,v3
2020-02-18,Rt,1.6870030794131,2.0810969914475,2.37453384316713,2.36180276811289,2.59706006808436,3.09731099921211,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-14,v3
2020-02-18,Rt,1.6870030794131,2.0810969914475,2.37453384316713,2.36180276811289,2.59706006808436,3.09731099921211,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-14,v3
2020-02-19,Rt,1.76045154356876,2.17183775062066,2.44649851276652,2.45117946955588,2.74481547312878,3.24493179112031,Additional 50% Reduction,Cabo Verde,CPV,2020-06-14,v3
2020-02-19,Rt,1.76045154356876,2.17183775062066,2.44649851276652,2.45117946955588,2.74481547312878,3.24493179112031,Maintain Status Quo,Cabo Verde,CPV,2020-06-14,v3
2020-02-19,Rt,1.76045154356876,2.17183775062066,2.44649851276652,2.45117946955588,2.74481547312878,3.24493179112031,Relax Interventions 50%,Cabo Verde,CPV,2020-06-14,v3
2020-02-19,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-14,v3
