date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-15,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-15,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-15,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-15,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-15,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-15,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-06-14,v3
2020-02-15,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-06-14,v3
2020-02-15,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-06-14,v3
2020-02-15,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-06-14,v3
2020-02-15,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Gabon,GAB,2020-06-14,v3
2020-02-15,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-06-14,v3
2020-02-15,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-06-14,v3
2020-02-15,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-06-14,v3
2020-02-15,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-06-14,v3
2020-02-15,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Gabon,GAB,2020-06-14,v3
2020-02-16,cumulative_infections,4,4,4,4,4,4,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-16,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-16,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-16,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-16,infections,4,4,4,4,4,4,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-16,Rt,1.71809177838399,1.96459989551847,2.21422440368344,2.23598234145485,2.48944932003926,2.8863654915557,Surged Additional 50% Reduction,Gabon,GAB,2020-06-14,v3
2020-02-16,cumulative_infections,4,4,4,4,4,4,Surged Maintain Status Quo,Gabon,GAB,2020-06-14,v3
