date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-06,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-06,deaths,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-06,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-06,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-06,infections,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-06,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-06,deaths,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-06,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-06,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-06,infections,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-06,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-06,deaths,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-06,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-06,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-06,infections,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-07,cumulative_infections,1,1,1,1,1,1,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-07,deaths,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-07,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-07,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-07,infections,1,1,1,1,1,1,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-07,Rt,1.63060147687705,1.83325119371282,2.07491101061921,2.10559729825751,2.30430769161882,2.82530140427356,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-07,cumulative_infections,1,1,1,1,1,1,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-07,deaths,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-07,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-07,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-07,infections,1,1,1,1,1,1,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-07,Rt,1.63060147687705,1.83325119371282,2.07491101061921,2.10559729825751,2.30430769161882,2.82530140427356,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-07,cumulative_infections,1,1,1,1,1,1,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-07,deaths,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-07,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-07,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-07,infections,1,1,1,1,1,1,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-07,Rt,1.63060147687705,1.83325119371282,2.07491101061921,2.10559729825751,2.30430769161882,2.82530140427356,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
2020-02-08,cumulative_infections,8,8,8,8,8,8,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-08,deaths,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-08,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-08,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-08,infections,7,7,7,7,7,7,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-08,Rt,1.6924693663786,1.97003682671903,2.20379638489632,2.23199831300289,2.46651244928404,2.91251772304095,Additional 50% Reduction,Gambia,GMB,2020-06-14,v3
2020-02-08,cumulative_infections,8,8,8,8,8,8,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-08,deaths,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-08,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-08,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-08,infections,7,7,7,7,7,7,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-08,Rt,1.6924693663786,1.97003682671903,2.20379638489632,2.23199831300289,2.46651244928404,2.91251772304095,Maintain Status Quo,Gambia,GMB,2020-06-14,v3
2020-02-08,cumulative_infections,8,8,8,8,8,8,Relax Interventions 50%,Gambia,GMB,2020-06-14,v3
