date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-08,Rt,1.63022042415055,1.77936829316531,1.95814288840067,2.04894136750509,2.21008075111585,2.98314659929977,Additional 50% Reduction,Gambia,GMB,2020-06-19,v3
2020-02-08,Rt,1.63022042415055,1.77936829316531,1.95814288840067,2.04894136750509,2.21008075111585,2.98314659929977,Maintain Status Quo,Gambia,GMB,2020-06-19,v3
2020-02-08,Rt,1.63022042415055,1.77936829316531,1.95814288840067,2.04894136750509,2.21008075111585,2.98314659929977,Relax Interventions 50%,Gambia,GMB,2020-06-19,v3
2020-02-08,Rt,1.6431320429248,1.74167112078503,1.88788302374656,2.00691136900121,2.09424360849761,3.05952340371297,Surged Additional 50% Reduction,Gambia,GMB,2020-06-19,v3
2020-02-08,Rt,1.6431320429248,1.74167112078503,1.88788302374656,2.00691136900121,2.09424360849761,3.05952340371297,Surged Maintain Status Quo,Gambia,GMB,2020-06-19,v3
2020-02-08,Rt,1.6431320429248,1.74167112078503,1.88788302374656,2.00691136900121,2.09424360849761,3.05952340371297,Surged Relax Interventions 50%,Gambia,GMB,2020-06-19,v3
2020-02-09,Rt,1.63022042415055,1.77936829316531,1.95814288840067,2.04894136750509,2.21008075111585,2.98314659929977,Additional 50% Reduction,Gambia,GMB,2020-06-19,v3
2020-02-09,Rt,1.63022042415055,1.77936829316531,1.95814288840067,2.04894136750509,2.21008075111585,2.98314659929977,Maintain Status Quo,Gambia,GMB,2020-06-19,v3
2020-02-09,Rt,1.63022042415055,1.77936829316531,1.95814288840067,2.04894136750509,2.21008075111585,2.98314659929977,Relax Interventions 50%,Gambia,GMB,2020-06-19,v3
2020-02-09,Rt,1.6431320429248,1.74167112078503,1.88788302374656,2.00691136900121,2.09424360849761,3.05952340371297,Surged Additional 50% Reduction,Gambia,GMB,2020-06-19,v3
2020-02-09,Rt,1.6431320429248,1.74167112078503,1.88788302374656,2.00691136900121,2.09424360849761,3.05952340371297,Surged Maintain Status Quo,Gambia,GMB,2020-06-19,v3
2020-02-09,Rt,1.6431320429248,1.74167112078503,1.88788302374656,2.00691136900121,2.09424360849761,3.05952340371297,Surged Relax Interventions 50%,Gambia,GMB,2020-06-19,v3
2020-02-10,Rt,1.63022042415055,1.77936829316531,1.95814288840067,2.04894136750509,2.21008075111585,2.98314659929977,Additional 50% Reduction,Gambia,GMB,2020-06-19,v3
2020-02-10,Rt,1.63022042415055,1.77936829316531,1.95814288840067,2.04894136750509,2.21008075111585,2.98314659929977,Maintain Status Quo,Gambia,GMB,2020-06-19,v3
2020-02-10,Rt,1.63022042415055,1.77936829316531,1.95814288840067,2.04894136750509,2.21008075111585,2.98314659929977,Relax Interventions 50%,Gambia,GMB,2020-06-19,v3
2020-02-10,Rt,1.6431320429248,1.74167112078503,1.88788302374656,2.00691136900121,2.09424360849761,3.05952340371297,Surged Additional 50% Reduction,Gambia,GMB,2020-06-19,v3
2020-02-10,Rt,1.6431320429248,1.74167112078503,1.88788302374656,2.00691136900121,2.09424360849761,3.05952340371297,Surged Maintain Status Quo,Gambia,GMB,2020-06-19,v3
2020-02-10,Rt,1.6431320429248,1.74167112078503,1.88788302374656,2.00691136900121,2.09424360849761,3.05952340371297,Surged Relax Interventions 50%,Gambia,GMB,2020-06-19,v3
