date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-29,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-29,deaths,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-29,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-29,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-29,infections,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-29,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04653367468275,2.23637858366675,2.63919905747745,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-29,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-29,deaths,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-29,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-29,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-29,infections,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-29,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04653367468275,2.23637858366675,2.63919905747745,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-29,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-29,deaths,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-29,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-29,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-29,infections,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-29,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04653367468275,2.23637858366675,2.63919905747745,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-29,Rt,1.62205885798656,1.84046455742303,2.03161305707946,2.07217514019552,2.28303696201584,2.72194913388395,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-29,Rt,1.62205885798656,1.84046455742303,2.03161305707946,2.07217514019552,2.28303696201584,2.72194913388395,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-29,Rt,1.62205885798656,1.84046455742303,2.03161305707946,2.07217514019552,2.28303696201584,2.72194913388395,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,cumulative_infections,2,2,2,2,2,2,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,deaths,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,infections,2,2,2,2,2,2,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04653367468275,2.23637858366675,2.63919905747745,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,cumulative_infections,2,2,2,2,2,2,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,deaths,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,infections,2,2,2,2,2,2,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04653367468275,2.23637858366675,2.63919905747745,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,cumulative_infections,2,2,2,2,2,2,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,deaths,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,infections,2,2,2,2,2,2,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04653367468275,2.23637858366675,2.63919905747745,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,Rt,1.62205885798656,1.84046455742303,2.03161305707946,2.07216821999895,2.28303696201584,2.72194913388395,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-30,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,Rt,1.62205885798656,1.84046455742303,2.03161305707946,2.07216821999895,2.28303696201584,2.72194913388395,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-30,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-30,Rt,1.62205885798656,1.84046455742303,2.03161305707946,2.07216821999895,2.28303696201584,2.72194913388395,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,cumulative_infections,6,6,6,6,6,6,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,deaths,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,infections,4,4,4,4,4,4,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04653367468275,2.23637858366675,2.63919905747745,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,cumulative_infections,6,6,6,6,6,6,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,deaths,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,infections,4,4,4,4,4,4,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04653367468275,2.23637858366675,2.63919905747745,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,cumulative_infections,6,6,6,6,6,6,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,deaths,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,infections,4,4,4,4,4,4,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04653367468275,2.23637858366675,2.63919905747745,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,cumulative_infections,3,3,3,3,3,3,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,infections,3,3,3,3,3,3,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,Rt,1.62205885798656,1.84046455742303,2.03161305707946,2.07215658997782,2.28303696201584,2.72194913388395,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-01-31,cumulative_infections,3,3,3,3,3,3,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,infections,3,3,3,3,3,3,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,Rt,1.62205885798656,1.84046455742303,2.03161305707946,2.07215658997782,2.28303696201584,2.72194913388395,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-01-31,cumulative_infections,3,3,3,3,3,3,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,infections,3,3,3,3,3,3,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-01-31,Rt,1.62205885798656,1.84046455742303,2.03161305707946,2.07215658997782,2.28303696201584,2.72194913388395,Surged Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-02-01,cumulative_infections,8,8,8,8,8,8,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,infections,2,2,2,2,2,2,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04652666762847,2.23637858366675,2.63919905747745,Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,cumulative_infections,8,8,8,8,8,8,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-02-01,deaths,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-02-01,infections,2,2,2,2,2,2,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-02-01,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04652666762847,2.23637858366675,2.63919905747745,Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-02-01,cumulative_infections,8,8,8,8,8,8,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-02-01,deaths,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-02-01,infections,2,2,2,2,2,2,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-02-01,Rt,1.63806736886886,1.83956904381665,1.9743836877947,2.04652666762847,2.23637858366675,2.63919905747745,Relax Interventions 50%,Guyana,GUY,2020-06-16,v3
2020-02-01,cumulative_infections,2,2,2,3.33333333333333,4,5.8,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,infections,2,2,2,2.33333333333333,2.5,2.95,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,Rt,1.62205885798656,1.84046455742303,2.03161305707946,2.07213756604233,2.28303696201584,2.72194913388395,Surged Additional 50% Reduction,Guyana,GUY,2020-06-16,v3
2020-02-01,cumulative_infections,2,2,2,3.33333333333333,4,5.8,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-02-01,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
2020-02-01,infections,2,2,2,2.33333333333333,2.5,2.95,Surged Maintain Status Quo,Guyana,GUY,2020-06-16,v3
