date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-02,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-02,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Maintain Status Quo,Kenya,KEN,2020-06-17,v3
2020-01-02,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Relax Interventions 50%,Kenya,KEN,2020-06-17,v3
2020-01-02,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-02,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Maintain Status Quo,Kenya,KEN,2020-06-17,v3
2020-01-02,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Relax Interventions 50%,Kenya,KEN,2020-06-17,v3
2020-01-03,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-03,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Maintain Status Quo,Kenya,KEN,2020-06-17,v3
2020-01-03,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Relax Interventions 50%,Kenya,KEN,2020-06-17,v3
2020-01-03,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-03,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Maintain Status Quo,Kenya,KEN,2020-06-17,v3
2020-01-03,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Relax Interventions 50%,Kenya,KEN,2020-06-17,v3
2020-01-04,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-04,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Maintain Status Quo,Kenya,KEN,2020-06-17,v3
2020-01-04,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Relax Interventions 50%,Kenya,KEN,2020-06-17,v3
2020-01-04,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-04,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Maintain Status Quo,Kenya,KEN,2020-06-17,v3
2020-01-04,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Relax Interventions 50%,Kenya,KEN,2020-06-17,v3
2020-01-05,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-05,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Maintain Status Quo,Kenya,KEN,2020-06-17,v3
2020-01-05,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Relax Interventions 50%,Kenya,KEN,2020-06-17,v3
2020-01-05,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-05,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Maintain Status Quo,Kenya,KEN,2020-06-17,v3
2020-01-05,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Relax Interventions 50%,Kenya,KEN,2020-06-17,v3
2020-01-06,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-06,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Maintain Status Quo,Kenya,KEN,2020-06-17,v3
2020-01-06,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Relax Interventions 50%,Kenya,KEN,2020-06-17,v3
2020-01-06,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-06,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Maintain Status Quo,Kenya,KEN,2020-06-17,v3
2020-01-06,Rt,1.82412743627194,2.18860955623727,2.27736523903925,2.37029959737754,2.41455619924479,3.26307310186103,Surged Relax Interventions 50%,Kenya,KEN,2020-06-17,v3
2020-01-07,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Additional 50% Reduction,Kenya,KEN,2020-06-17,v3
2020-01-07,Rt,1.93600475756568,2.20781721144431,2.3386812439782,2.42722852815473,2.52731965928754,3.25600707438578,Maintain Status Quo,Kenya,KEN,2020-06-17,v3
