date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-02,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-02,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-02,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-02,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-02,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-02,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-03,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-03,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-03,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-03,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-03,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-03,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-04,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-04,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-04,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-04,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-04,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-04,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-05,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-05,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-05,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-05,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-05,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-05,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-06,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-06,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-06,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-06,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-06,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-06,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-07,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-07,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-07,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-07,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-07,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
2020-01-07,Rt,1.71415150702111,2.00924219718878,2.35706121583997,2.35682203877009,2.6773731849363,3.17581556451475,Surged Relax Interventions 50%,Lebanon,LBN,2020-06-21,v3
2020-01-08,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Additional 50% Reduction,Lebanon,LBN,2020-06-21,v3
2020-01-08,Rt,1.7049802588483,1.94658767602107,2.39917369984821,2.34899416468375,2.64431983170736,3.11463057318012,Maintain Status Quo,Lebanon,LBN,2020-06-21,v3
