date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-02,Rt,1.68525523360285,2.08167941235628,2.31500474247584,2.32644706749201,2.59174774110365,2.94154246924991,Additional 50% Reduction,Myanmar,MMR,2020-06-15,v3
2020-01-02,Rt,1.68525523360285,2.08167941235628,2.31500474247584,2.32644706749201,2.59174774110365,2.94154246924991,Maintain Status Quo,Myanmar,MMR,2020-06-15,v3
2020-01-02,Rt,1.68525523360285,2.08167941235628,2.31500474247584,2.32644706749201,2.59174774110365,2.94154246924991,Relax Interventions 50%,Myanmar,MMR,2020-06-15,v3
2020-01-02,Rt,1.7184640535563,2.01164590637244,2.24891744549232,2.28052233946872,2.50205597973445,2.97577759753583,Surged Additional 50% Reduction,Myanmar,MMR,2020-06-15,v3
2020-01-02,Rt,1.7184640535563,2.01164590637244,2.24891744549232,2.28052233946872,2.50205597973445,2.97577759753583,Surged Maintain Status Quo,Myanmar,MMR,2020-06-15,v3
2020-01-02,Rt,1.7184640535563,2.01164590637244,2.24891744549232,2.28052233946872,2.50205597973445,2.97577759753583,Surged Relax Interventions 50%,Myanmar,MMR,2020-06-15,v3
2020-01-03,Rt,1.68525523360285,2.08167941235628,2.31500474247584,2.32644706749201,2.59174774110365,2.94154246924991,Additional 50% Reduction,Myanmar,MMR,2020-06-15,v3
2020-01-03,Rt,1.68525523360285,2.08167941235628,2.31500474247584,2.32644706749201,2.59174774110365,2.94154246924991,Maintain Status Quo,Myanmar,MMR,2020-06-15,v3
2020-01-03,Rt,1.68525523360285,2.08167941235628,2.31500474247584,2.32644706749201,2.59174774110365,2.94154246924991,Relax Interventions 50%,Myanmar,MMR,2020-06-15,v3
2020-01-03,Rt,1.7184640535563,2.01164590637244,2.24891744549232,2.28052233946872,2.50205597973445,2.97577759753583,Surged Additional 50% Reduction,Myanmar,MMR,2020-06-15,v3
2020-01-03,Rt,1.7184640535563,2.01164590637244,2.24891744549232,2.28052233946872,2.50205597973445,2.97577759753583,Surged Maintain Status Quo,Myanmar,MMR,2020-06-15,v3
2020-01-03,Rt,1.7184640535563,2.01164590637244,2.24891744549232,2.28052233946872,2.50205597973445,2.97577759753583,Surged Relax Interventions 50%,Myanmar,MMR,2020-06-15,v3
2020-01-04,Rt,1.68525523360285,2.08167941235628,2.31500474247584,2.32644706749201,2.59174774110365,2.94154246924991,Additional 50% Reduction,Myanmar,MMR,2020-06-15,v3
2020-01-04,Rt,1.68525523360285,2.08167941235628,2.31500474247584,2.32644706749201,2.59174774110365,2.94154246924991,Maintain Status Quo,Myanmar,MMR,2020-06-15,v3
2020-01-04,Rt,1.68525523360285,2.08167941235628,2.31500474247584,2.32644706749201,2.59174774110365,2.94154246924991,Relax Interventions 50%,Myanmar,MMR,2020-06-15,v3
2020-01-04,Rt,1.7184640535563,2.01164590637244,2.24891744549232,2.28052233946872,2.50205597973445,2.97577759753583,Surged Additional 50% Reduction,Myanmar,MMR,2020-06-15,v3
