date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-03-23,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-23,deaths,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-23,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-23,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-23,infections,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-23,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-23,deaths,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-23,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-23,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-23,infections,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-23,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-23,deaths,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-23,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-23,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-23,infections,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-23,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-23,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-23,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-23,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-23,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-23,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-23,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-23,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-23,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-23,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-23,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-23,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-23,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-23,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-23,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,cumulative_infections,2.025,2.25,2.5,2.5,2.75,2.975,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,deaths,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,infections,2.025,2.25,2.5,2.5,2.75,2.975,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,Rt,1.67877370503903,1.84004871797053,2.10495293513561,2.19234283972024,2.42012183608869,3.37654871624346,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,cumulative_infections,2.025,2.25,2.5,2.5,2.75,2.975,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,deaths,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,infections,2.025,2.25,2.5,2.5,2.75,2.975,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,Rt,1.67877370503903,1.84004871797053,2.10495293513561,2.19234283972024,2.42012183608869,3.37654871624346,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,cumulative_infections,2.025,2.25,2.5,2.5,2.75,2.975,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,deaths,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,infections,2.025,2.25,2.5,2.5,2.75,2.975,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,Rt,1.67877370503903,1.84004871797053,2.10495293513561,2.19234283972024,2.42012183608869,3.37654871624346,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,cumulative_infections,2,2,2,2,2,2,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,infections,2,2,2,2,2,2,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,Rt,1.706874267032,1.85159381262169,2.02311706531005,2.17668339881408,2.45061208599887,3.16447755247852,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-24,cumulative_infections,2,2,2,2,2,2,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,infections,2,2,2,2,2,2,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,Rt,1.706874267032,1.85159381262169,2.02311706531005,2.17668339881408,2.45061208599887,3.16447755247852,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-24,cumulative_infections,2,2,2,2,2,2,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,infections,2,2,2,2,2,2,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-24,Rt,1.706874267032,1.85159381262169,2.02311706531005,2.17668339881408,2.45061208599887,3.16447755247852,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,cumulative_infections,0,1,1,1.625,2,5.875,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,deaths,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,infections,0,1,1,1.3125,2,3.875,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,Rt,1.59544279804496,1.72015459708891,1.87001753414865,2.01548013342517,2.18057428722902,3.21111953741135,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,cumulative_infections,0,1,1,1.625,2,5.875,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,deaths,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,infections,0,1,1,1.3125,2,3.875,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,Rt,1.59544279804496,1.72015459708891,1.87001753414865,2.01548013342517,2.18057428722902,3.21111953741135,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,cumulative_infections,0,1,1,1.625,2,5.875,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,deaths,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,infections,0,1,1,1.3125,2,3.875,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,Rt,1.59544279804496,1.72015459708891,1.87001753414865,2.01548013342517,2.18057428722902,3.21111953741135,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,cumulative_infections,0,1,2,2.66666666666667,4,6,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,infections,0,1,2,2,4,4,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,Rt,1.58343346922045,1.73244271453914,1.84855424532388,2.04251935875826,2.17471173192236,3.56089885750418,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-25,cumulative_infections,0,1,2,2.66666666666667,4,6,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,infections,0,1,2,2,4,4,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,Rt,1.58343346922045,1.73244271453914,1.84855424532388,2.04251935875826,2.17471173192236,3.56089885750418,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-25,cumulative_infections,0,1,2,2.66666666666667,4,6,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,infections,0,1,2,2,4,4,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-25,Rt,1.58343346922045,1.73244271453914,1.84855424532388,2.04251935875826,2.17471173192236,3.56089885750418,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,cumulative_infections,0,1,2,2.6875,4,8.225,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,deaths,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,infections,0,1,1,1.875,3,6.225,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,Rt,1.58162690791525,1.70720784018883,1.94784581886324,2.06199353124013,2.27889337764939,3.16073816387072,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,cumulative_infections,0,1,2,2.6875,4,8.225,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,deaths,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,infections,0,1,1,1.875,3,6.225,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,Rt,1.58162690791525,1.70720784018883,1.94784581886324,2.06199353124013,2.27889337764939,3.16073816387072,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,cumulative_infections,0,1,2,2.6875,4,8.225,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,deaths,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,infections,0,1,1,1.875,3,6.225,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,Rt,1.58162690791525,1.70720784018883,1.94784581886324,2.06199353124013,2.27889337764939,3.16073816387072,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,cumulative_infections,0,1,2,2.93333333333333,4,9.275,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,infections,0,1,2,2.13333333333333,3,5.275,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,Rt,1.53322288237572,1.70994727016346,1.89546265735481,2.06416779357838,2.32104405084262,3.20377476729507,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-26,cumulative_infections,0,1,2,2.93333333333333,4,9.275,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,infections,0,1,2,2.13333333333333,3,5.275,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,Rt,1.53322288237572,1.70994727016346,1.89546265735481,2.06416779357838,2.32104405084262,3.20377476729507,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-26,cumulative_infections,0,1,2,2.93333333333333,4,9.275,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,infections,0,1,2,2.13333333333333,3,5.275,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-26,Rt,1.53322288237572,1.70994727016346,1.89546265735481,2.06416779357838,2.32104405084262,3.20377476729507,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,cumulative_infections,0,1,5,4.86666666666667,7,13.8,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,deaths,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,infections,0,1,2,2.95555555555556,4,7,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,Rt,1.55502649904225,1.67611154497719,1.78001425102441,1.95686388097118,2.17057791004361,3.01077562251464,Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,cumulative_infections,0,1,5,4.86666666666667,7,13.8,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,deaths,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,infections,0,1,2,2.95555555555556,4,7,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,Rt,1.55502649904225,1.67611154497719,1.78001425102441,1.95686388097118,2.17057791004361,3.01077562251464,Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,cumulative_infections,0,1,5,4.86666666666667,7,13.8,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,deaths,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,infections,0,1,2,2.95555555555556,4,7,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,Rt,1.55502649904225,1.67611154497719,1.78001425102441,1.95686388097118,2.17057791004361,3.01077562251464,Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,cumulative_infections,0.975,2,5,4.95,7,13,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,infections,0,1.75,3,2.75,4,6.025,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,Rt,1.50875396634906,1.68356970683437,1.79428985026242,1.98425139088672,2.16772595492628,3.10617714889686,Surged Additional 50% Reduction,Nepal,NPL,2020-06-21,v3
2020-03-27,cumulative_infections,0.975,2,5,4.95,7,13,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,infections,0,1.75,3,2.75,4,6.025,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,Rt,1.50875396634906,1.68356970683437,1.79428985026242,1.98425139088672,2.16772595492628,3.10617714889686,Surged Maintain Status Quo,Nepal,NPL,2020-06-21,v3
2020-03-27,cumulative_infections,0.975,2,5,4.95,7,13,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
2020-03-27,infections,0,1.75,3,2.75,4,6.025,Surged Relax Interventions 50%,Nepal,NPL,2020-06-21,v3
