date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-02,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-02,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-02,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-02,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-02,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-02,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-03,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-03,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-03,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-03,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-03,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-03,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-04,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-04,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-04,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-04,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-04,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-04,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-05,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-05,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-05,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-05,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-05,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-05,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-06,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-06,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-06,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-06,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-06,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-06,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-07,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-07,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-07,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-07,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-07,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-07,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-08,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-08,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-08,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-08,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-08,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-08,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-09,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
2020-01-09,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Maintain Status Quo,El Salvador,SLV,2020-06-14,v3
2020-01-09,Rt,2.09613617094402,2.51014373089014,2.69814957210024,2.73375318987314,2.95708049437512,3.50072968816907,Relax Interventions 50%,El Salvador,SLV,2020-06-14,v3
2020-01-09,Rt,2.16523542778473,2.62277266055517,2.77495247614063,2.78204733214868,2.95709207811272,3.3502172014684,Surged Additional 50% Reduction,El Salvador,SLV,2020-06-14,v3
