date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-03-21,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-06-14,v3
2020-03-21,deaths,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-06-14,v3
2020-03-21,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-06-14,v3
2020-03-21,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-06-14,v3
2020-03-21,infections,0,0,0,0,0,0,Additional 50% Reduction,South Sudan,SSD,2020-06-14,v3
2020-03-21,Rt,1.75383350182251,1.96242427452294,2.2543364683999,2.29808390930901,2.64781734114327,3.05611006058196,Additional 50% Reduction,South Sudan,SSD,2020-06-14,v3
2020-03-21,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-06-14,v3
2020-03-21,deaths,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-06-14,v3
2020-03-21,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-06-14,v3
2020-03-21,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-06-14,v3
2020-03-21,infections,0,0,0,0,0,0,Maintain Status Quo,South Sudan,SSD,2020-06-14,v3
2020-03-21,Rt,1.75383350182251,1.96242427452294,2.2543364683999,2.29808390930901,2.64781734114327,3.05611006058196,Maintain Status Quo,South Sudan,SSD,2020-06-14,v3
2020-03-21,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,South Sudan,SSD,2020-06-14,v3
2020-03-21,deaths,0,0,0,0,0,0,Relax Interventions 50%,South Sudan,SSD,2020-06-14,v3
2020-03-21,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,South Sudan,SSD,2020-06-14,v3
2020-03-21,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,South Sudan,SSD,2020-06-14,v3
2020-03-21,infections,0,0,0,0,0,0,Relax Interventions 50%,South Sudan,SSD,2020-06-14,v3
2020-03-21,Rt,1.75383350182251,1.96242427452294,2.2543364683999,2.29808390930901,2.64781734114327,3.05611006058196,Relax Interventions 50%,South Sudan,SSD,2020-06-14,v3
2020-03-21,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,South Sudan,SSD,2020-06-14,v3
2020-03-21,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,South Sudan,SSD,2020-06-14,v3
