date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-02,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-02,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-02,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-02,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-02,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-02,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-03,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-03,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-03,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-03,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-03,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-03,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-04,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-04,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-04,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-04,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-04,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-04,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-05,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-05,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-05,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-05,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-05,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-05,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-06,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-06,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-06,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-06,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-06,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-06,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-07,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-07,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-07,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-07,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-07,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-07,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-08,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-08,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-08,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-08,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-08,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-08,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-09,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-09,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-09,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-09,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-09,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-09,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-10,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-10,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-10,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-10,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-10,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-10,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-11,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-11,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-11,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-11,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-11,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-11,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-12,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-12,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-12,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-12,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-12,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-12,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-13,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-13,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-13,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-13,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-13,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-13,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-14,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-14,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-14,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-14,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-14,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-14,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-15,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-15,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-15,Rt,1.9565298564996,2.39448473626457,2.70655223544107,2.81381471650255,3.17299810860783,4.12445234371279,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-17,v3
2020-01-15,Rt,1.9438996152799,2.30976689501351,2.68609531471566,2.75112101733517,3.14439469501865,3.89631157680684,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-17,v3
