date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-02,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-02,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-02,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-02,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-02,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-02,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-03,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-03,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-03,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-03,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-03,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-03,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-04,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-04,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-04,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-04,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-04,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-04,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-05,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-05,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-05,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-05,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-05,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-05,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-06,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-06,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-06,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-06,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-06,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-06,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-07,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-07,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-07,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-07,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-07,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-07,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-08,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-08,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-08,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-08,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-08,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-08,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-09,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-09,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-09,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-09,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-09,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-09,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-10,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-10,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-10,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-10,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-10,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-10,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-11,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-11,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-11,Rt,1.83855536654709,2.22945895106927,2.58589704734452,2.71309666566448,3.06433129090913,4.10858331939844,Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-11,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Additional 50% Reduction,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-11,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Maintain Status Quo,Sao Tome and Principe,STP,2020-06-21,v3
2020-01-11,Rt,1.95073569337504,2.28232139735193,2.64488905038316,2.70518745249687,3.0513932179736,3.89510971162579,Surged Relax Interventions 50%,Sao Tome and Principe,STP,2020-06-21,v3
