date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-02,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Additional 50% Reduction,Togo,TGO,2020-06-16,v3
2020-01-02,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Maintain Status Quo,Togo,TGO,2020-06-16,v3
2020-01-02,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Relax Interventions 50%,Togo,TGO,2020-06-16,v3
2020-01-02,Rt,1.62215441219577,1.87629883960617,2.12408360562655,2.13103709189319,2.33335848361906,2.80015757615246,Surged Additional 50% Reduction,Togo,TGO,2020-06-16,v3
2020-01-02,Rt,1.62215441219577,1.87629883960617,2.12408360562655,2.13103709189319,2.33335848361906,2.80015757615246,Surged Maintain Status Quo,Togo,TGO,2020-06-16,v3
2020-01-02,Rt,1.62215441219577,1.87629883960617,2.12408360562655,2.13103709189319,2.33335848361906,2.80015757615246,Surged Relax Interventions 50%,Togo,TGO,2020-06-16,v3
2020-01-03,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Additional 50% Reduction,Togo,TGO,2020-06-16,v3
2020-01-03,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Maintain Status Quo,Togo,TGO,2020-06-16,v3
2020-01-03,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Relax Interventions 50%,Togo,TGO,2020-06-16,v3
2020-01-03,Rt,1.62215441219577,1.87629883960617,2.12408360562655,2.13103709189319,2.33335848361906,2.80015757615246,Surged Additional 50% Reduction,Togo,TGO,2020-06-16,v3
2020-01-03,Rt,1.62215441219577,1.87629883960617,2.12408360562655,2.13103709189319,2.33335848361906,2.80015757615246,Surged Maintain Status Quo,Togo,TGO,2020-06-16,v3
2020-01-03,Rt,1.62215441219577,1.87629883960617,2.12408360562655,2.13103709189319,2.33335848361906,2.80015757615246,Surged Relax Interventions 50%,Togo,TGO,2020-06-16,v3
2020-01-04,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Additional 50% Reduction,Togo,TGO,2020-06-16,v3
2020-01-04,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Maintain Status Quo,Togo,TGO,2020-06-16,v3
2020-01-04,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Relax Interventions 50%,Togo,TGO,2020-06-16,v3
2020-01-04,Rt,1.62215441219577,1.87629883960617,2.12408360562655,2.13103709189319,2.33335848361906,2.80015757615246,Surged Additional 50% Reduction,Togo,TGO,2020-06-16,v3
2020-01-04,Rt,1.62215441219577,1.87629883960617,2.12408360562655,2.13103709189319,2.33335848361906,2.80015757615246,Surged Maintain Status Quo,Togo,TGO,2020-06-16,v3
2020-01-04,Rt,1.62215441219577,1.87629883960617,2.12408360562655,2.13103709189319,2.33335848361906,2.80015757615246,Surged Relax Interventions 50%,Togo,TGO,2020-06-16,v3
2020-01-05,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Additional 50% Reduction,Togo,TGO,2020-06-16,v3
2020-01-05,Rt,1.60661522347737,1.90082133174325,2.08896092622004,2.11273581439327,2.30823293619369,2.71602234397239,Maintain Status Quo,Togo,TGO,2020-06-16,v3
