date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-02,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-02,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-02,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-02,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-02,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-02,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-03,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-03,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-03,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-03,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-03,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-03,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-04,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-04,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-04,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-04,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-04,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-04,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-05,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-05,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-05,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-05,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-05,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-05,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-06,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-06,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-06,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-06,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-06,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-06,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-07,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
2020-01-07,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Maintain Status Quo,Uruguay,URY,2020-06-14,v3
2020-01-07,Rt,1.97961455153878,2.28791885614991,2.49692736628582,2.49001138804368,2.65522905749267,3.14923853151517,Relax Interventions 50%,Uruguay,URY,2020-06-14,v3
2020-01-07,Rt,2.01837994599887,2.31575017725382,2.51382216230061,2.53358311948263,2.71703396373247,3.07720566320938,Surged Additional 50% Reduction,Uruguay,URY,2020-06-14,v3
